bikerack,wkt,contributor,modified,access,type,capacity,covered,parking,description,label,area,streetName,prove,cluster
http://linkedgeodata.org/triplify/node1202027599,POINT(11.118688 46.0696696),http://linkedgeodata.org/triplify/user330007,2011-03-14T20:56:08,,,,,,,,,,osm,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack25,POINT (11.1253534385 46.0681072205),,,,,,,,,,,,qrowd,
http://linkedgeodata.org/triplify/node890486735,POINT(11.124673 46.0659986),http://linkedgeodata.org/triplify/user38643,2015-07-04T00:41:24,,,12,,,,,,,osm,
http://linkedgeodata.org/triplify/node1662768771,POINT(11.1230808 46.071031),http://linkedgeodata.org/triplify/user330007,2012-03-06T18:57:56,,,13,,surface,,,,,osm,
http://qrowd-project.eu/resource/rastrelliere.13,"LINESTRING (11.125957550092103 46.06898502173201, 11.12597029074549 46.06895861574807)",,,,monofacciale,4,,,via S. Maria Maddalena  n.posti  4  -  monofacciale,via S. Maria Maddalena  n.posti  4  -  monofacciale,ZTL,via S. Maria Maddalena,trento,
http://linkedgeodata.org/triplify/node1773068114,POINT(11.1244426 46.0648674),http://linkedgeodata.org/triplify/user330007,2012-06-01T23:52:25,,,4,,,,,,,osm,
http://qrowd-project.eu/resource/rastrelliere.34,"LINESTRING (11.123668656427052 46.06566073795999, 11.123709034102497 46.065661583065015)",,,,monofacciale,9,,,via II Androna Borgonuovo  n.posti  9  -  monofacciale,via II Androna Borgonuovo  n.posti  9  -  monofacciale,ZTL,via II Androna Borgonuovo,trento,
http://linkedgeodata.org/triplify/node1307179778,POINT(11.1259977 46.0707536),http://linkedgeodata.org/triplify/user330007,2011-07-19T18:52:11,,,8,,,,,,,osm,
http://linkedgeodata.org/triplify/node2925010842,POINT(11.1271889 46.0674805),http://linkedgeodata.org/triplify/user135609,2014-06-20T19:57:59,public,wall_loops,,no,,,,,,osm,
http://qrowd-project.eu/resource/rastrelliere.25,"LINESTRING (11.121813461679263 46.067520648762276, 11.12184160813977 46.06739374935931)",,,,monofacciale,20,,,piazza del Duomo  n.posti  20  -  monofacciale,piazza del Duomo  n.posti  20  -  monofacciale,ZTL,piazza del Duomo,trento,
