bikerack,wkt,contributor,modified,access,type,capacity,covered,parking,description,label,area,streetName,prove,cluster
http://linkedgeodata.org/triplify/node1369533465,POINT(11.1246869 46.0677482),http://linkedgeodata.org/triplify/user330007,2011-11-26T19:54:38,,,20,,,,,,,osm,
http://linkedgeodata.org/triplify/node938729458,POINT(11.1239086 46.0661631),http://linkedgeodata.org/triplify/user330007,2012-06-02T00:23:21,private,,8,,,,,,,osm,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack10,POINT (11.124028386 46.065932833),,,,,,,,,,,,qrowd,
http://linkedgeodata.org/triplify/node938729359,POINT(11.1244926 46.0669955),http://linkedgeodata.org/triplify/user330007,2011-07-22T01:52:57,,,,,,,,,,osm,
http://linkedgeodata.org/triplify/node880590612,POINT(11.1226663 46.0697881),http://linkedgeodata.org/triplify/user330007,2010-08-26T15:44:58,,,,,,,,,,osm,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack8,POINT (11.1235190179 46.0677833473),,,,,,,,,,,,qrowd,
http://qrowd-project.eu/resource/rastrelliere.32,"LINESTRING (11.1241499222607 46.06599198688739, 11.124143668815611 46.06602018686515)",,,,monofacciale,8,,,piazza Garzetti  n.posti  8  -  monofacciale,piazza Garzetti  n.posti  8  -  monofacciale,ZTL,piazza Garzetti,trento,http://example.org/cluster/bikerack11-rastrelliere.32
http://linkedgeodata.org/triplify/node927359152,POINT(11.1190158 46.0671791),http://linkedgeodata.org/triplify/user330007,2010-09-27T00:50:44,,,,,,,,,,osm,
http://linkedgeodata.org/triplify/node1307180338,POINT(11.1260019 46.0707979),http://linkedgeodata.org/triplify/user330007,2011-07-19T18:52:12,,,4,,,,,,,osm,
http://qrowd-project.eu/resource/rastrelliere.38,"LINESTRING (11.12236177472391 46.06527764983274, 11.122313480935151 46.06528556789875)",,,,monofacciale,12,,,via Al Torrione  n.posti  12  -  monofacciale,via Al Torrione  n.posti  12  -  monofacciale,ZTL,via Al Torrione,trento,http://example.org/cluster/bikerack17-rastrelliere.38
http://linkedgeodata.org/triplify/node890486688,POINT(11.1247214 46.0657092),http://linkedgeodata.org/triplify/user330007,2011-07-20T22:22:41,,,8,,,,,,,osm,
http://qrowd-project.eu/resource/rastrelliere.28,"LINESTRING (11.119207626830178 46.06661544527659, 11.119513206858644 46.06664551949483)",,,,monofacciale,52,,,via Verdi  n.posti  52  -  monofacciale,via Verdi  n.posti  52  -  monofacciale,ZTL,via Verdi,trento,
http://linkedgeodata.org/triplify/node889555365,POINT(11.1241149 46.0660002),http://linkedgeodata.org/triplify/user330007,2010-10-05T21:16:48,,,,,,,,,,osm,
http://qrowd-project.eu/resource/rastrelliere.15,"LINESTRING (11.119421419514536 46.06882243251067, 11.119520726051421 46.0688295259502)",,,,bifacciale,24,,,piazza S. Maria Maggiore  n.posti  24  -  bifacciale,piazza S. Maria Maggiore  n.posti  24  -  bifacciale,ZTL,piazza S. Maria Maggiore,trento,
http://linkedgeodata.org/triplify/node2673313378,POINT(11.1239246 46.0719711),http://linkedgeodata.org/triplify/user330007,2014-02-15T19:33:59,,,,,,,,,,osm,
http://qrowd-project.eu/resource/rastrelliere.37,"LINESTRING (11.12258318316078 46.065240984963054, 11.122435577570398 46.06526542825666)",,,,monofacciale,28,,,via Al Torrione  n.posti  28  -  monofacciale,via Al Torrione  n.posti  28  -  monofacciale,ZTL,via Al Torrione,trento,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack4,POINT (11.1245305078 46.0692045646),,,,,,,,,,,,qrowd,
http://linkedgeodata.org/triplify/node920689213,POINT(11.1193939 46.0651989),http://linkedgeodata.org/triplify/user330007,2010-09-21T22:37:52,,,,,,,,,,osm,
http://linkedgeodata.org/triplify/node927358861,POINT(11.1210015 46.0681994),http://linkedgeodata.org/triplify/user330007,2010-09-27T00:50:36,,,,,,,,,,osm,
http://qrowd-project.eu/resource/rastrelliere.0,"LINESTRING (11.12011600889509 46.06974332787273, 11.120095457435852 46.06982923685294)",,,,monofacciale,10,,,passaggio Peterlongo  n.posti  10  -  monofacciale,passaggio Peterlongo  n.posti  10  -  monofacciale,ZTL,passaggio Peterlongo,trento,
http://qrowd-project.eu/resource/rastrelliere.30,"LINESTRING (11.122958978776689 46.06692875862931, 11.123210646959004 46.06696365433016)",,,,monofacciale,56,,,via Calepina  n.posti  56  -  monofacciale,via Calepina  n.posti  56  -  monofacciale,ZTL,via Calepina,trento,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack26,POINT (11.1201655035 46.0686774681),,,,,,,,,,,,qrowd,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack11,POINT (11.1241658465 46.0659969557),,,,,,,,,,,,qrowd,http://example.org/cluster/bikerack11-rastrelliere.32
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack1,POINT (11.1214521435 46.0696817002),,,,,,,,,,,,qrowd,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack33,POINT (11.1218097912 46.0673798839),,,,,,,,,,,,qrowd,
