bikerack,wkt,contributor,modified,access,capacity,dataset,covered,parking,description,stuff,label,area,streetName,prove,cluster
http://qrowd-project.eu/resource/89d311e5-0eb6-43fe-8f14-970d066ea28e,POINT (11.1199133646 46.0666810754),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/node938729365,POINT(11.1239814 46.0661029),,,,8,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/00d8e833-5645-466d-8178-74f7c26c5bfe,"LINESTRING (11.125957550092414 46.068985021726725, 11.125970290745801 46.068958615742815)",,,,4,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/node885670019,POINT(11.1239126 46.0683792),,,,,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/node890486688,POINT(11.1247214 46.0657092),,,,8,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/node927359322,POINT(11.1216467 46.0694639),,,,,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/e8315eb0-5ca6-426e-9d67-5cc4b2baa523,POINT (11.1247100774 46.065745297),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/dcedeec2-b762-4725-8cd5-a4007d812801,POINT (11.1225211733 46.0652552203),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/c8da0d6c-cba5-4008-bac9-1ffdd0ee85fa,POINT (11.1241704311 46.0668197466),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/node1202027599,POINT(11.118688 46.0696696),,,,,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/node1962487951,POINT(11.1244596 46.0691813),,,,4,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/a4f6eeaa-7d10-4b20-98a8-9cce9f5e0c73,POINT (11.1234560031 46.0692200013),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/0cd47b63-c0c1-44e6-962a-0a6a702a6f56,POINT (11.1193635627 46.0688038833),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/node1312440696,POINT(11.1206975 46.0688755),,,,3,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/be162c85-b5e6-4fd1-b5ff-5eaaba8763db,"LINESTRING (11.122361774724219 46.06527764982738, 11.122313480935462 46.0652855678934)",,,,12,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/ce5bf6e2-3420-4017-9dc7-7b4fe85b3ed3,"LINESTRING (11.122914587745049 46.065059942426316, 11.123014828588282 46.06506765372709)",,,,15,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/node1073482343,POINT(11.1253983 46.0680729),,,,20,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/e7a1fc7a-aa20-4512-ab34-c9208cfe5403,POINT (11.1266606537 46.0705009668),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/019362c8-314f-4335-9ab0-379d76145e58,"LINESTRING (11.123449406252545 46.0678093872253, 11.123545437582306 46.06782675029234)",,,,10,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/node1461587546,POINT(11.1230212 46.0669131),,,,24,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/7158be9a-c865-435d-ae32-44a541d485bd,POINT (11.1234124245 46.0672646223),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/bafa4407-a98f-4c11-8c84-254be8ad734c,"LINESTRING (11.12264258149944 46.06786012319071, 11.122713663197656 46.06784859026692)",,,,8,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/node889555501,POINT(11.124031 46.0661549),,,,,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/f6d7c0ba-a544-45a7-b232-2cfe5c9c50c6,POINT (11.1237345508 46.0674838567),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/node2407332591,POINT(11.1264767 46.0694326),,,,4,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/node1307180338,POINT(11.1260019 46.0707979),,,,4,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/4b8325e4-5ba7-4995-8e1c-5838d047a917,"LINESTRING (11.120688967879216 46.06963120972425, 11.120822572033443 46.06964787764294)",,,,32,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/node938729458,POINT(11.1239086 46.0661631),,,,8,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/0a4916f9-f786-4e39-a53c-8e465536dfe4,"LINESTRING (11.12008780859778 46.06986895126048, 11.120073561819927 46.069927936080184)",,,,8,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/c3546fe0-3d20-48e7-8b0b-81779eedc2f8,"LINESTRING (11.120092913622484 46.068685511786995, 11.12013350115551 46.068691779524436)",,,,8,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/593685c9-e73d-49be-8b18-702bd2c45f64,POINT (11.1253534385 46.0681072205),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/bb8aa95a-8c08-4f9e-8453-31cf0787a91d,"LINESTRING (11.122632027781279 46.06858921894162, 11.122629630791888 46.06852671341949)",,,,9,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/ba9fc020-219d-48b0-b4a7-9ac7d481d17f,POINT (11.1266870735 46.0694846896),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/node1313709030,POINT(11.1207847 46.0696153),,,,32,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/032fb9aa-b40a-4373-b32a-de8f7b03455e,"LINESTRING (11.123652190586327 46.06950978793817, 11.123588913639288 46.069509687585835)",,,,8,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/383debe7-fa69-44e8-9879-4198db5a567d,"LINESTRING (11.120142518955717 46.067131690307825, 11.12020497465447 46.067134360871705)",,,,8,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/node2074585048,POINT(11.1233899 46.0672526),,,,,,,,,,,,,LinkedGeoData,
